序号,课程编码,课程名称,课程属性,所属学科/专业,课时/学分,开课周,星期节次,教室,授课方式,考试方式
139.0,051M4083H,硅基光电子学材料与器件,专业核心课,材料物理与化学,60/4.0,第2-18周,周五(1-2),教1-305,课堂讲授为主,闭卷笔试
140.0,051M5020H,生物可降解高分子材料,专业普及课,材料学,40/2.0,第2-13周,周三(3-4),教1-317,课堂讲授为主,课堂开卷
140.0,051M5020H,生物可降解高分子材料,专业普及课,材料学,40/2.0,第2-13周,周五(3-4),教1-317,课堂讲授为主,课堂开卷
149.0,051M5070H,半导体微纳结构光电子与量子器件,专业普及课,,40/3.0,第2-13周,周五(1-2),教1-125,授课、讨论,闭卷笔试
153.0,051M5106H,半导体激光器,专业普及课,材料物理与化学,50/3.0,"第2,4-20周",周三(5-7),教1-404,课堂讲授为主,课堂开卷
155.0,051M5108H,半导体材料测试与分析,专业普及课,材料物理与化学,50/3.0,第3-16周,周五(3-4),教1-404,课堂讲授为主,课堂开卷
160.0,051M6002H,宽带高速硅基光子集成芯片,专业研讨课,材料物理与化学,21/2.0,"第2,4,6,8,10,12,14周",周三(5-7),学2-302,授课、讨论,读书报告
162.0,051M6035H,半导体物理前沿进展,专业研讨课,材料物理与化学,20/1.0,第6-11周,周三(5-7),教1-232,授课、讨论,读书报告
162.0,051M6035H,半导体物理前沿进展,专业研讨课,材料物理与化学,20/1.0,第6-11周,周五(3-4),教1-232,授课、讨论,读书报告
174.0,061M2031H,生物统计与实验设计,一级学科普及课,生物学,40/3.0,"第2-4,6-14周",周一(3-4),教2-201,课堂讲授为主,课堂开卷
174.0,061M2031H,生物统计与实验设计,一级学科普及课,生物学,40/3.0,"第2-4,6-14周",周五(1-2),教2-201,课堂讲授为主,课堂开卷
175.0,061M4001H,高级植物发育生物学,专业核心课,生物学,60/4.0,"第2-4,6-20周",周三(5-7),教2-104,课堂讲授为主,闭卷笔试
183.0,061M4009H,分子细胞生物学,专业核心课,生物学,60/4.0,"第2-4,6-19周",周五(3-4),教2-201,授课、讨论,闭卷笔试
184.0,061M4011H,细胞的物理生物学,专业核心课,生物学,60/4.0,"第2-4,6-20周",周三(5-7),教2-427,授课、讨论,闭卷笔试
197.0,061M5012H,生物技术药物,专业普及课,生物学,48/3.0,"第2-4,6-19周",周五(9-11),教2-106,课堂讲授为主,读书报告
203.0,061M5021H,功能基因组学,专业普及课,生物学,40/3.0,"第2-4,6-18周",周三(5-7),教2-101,授课、讨论,读书报告
205.0,061M5026H,微生物代谢工程,专业普及课,生物学,30/2.0,"第3-4,6-15周",周三(5-7),教2-106,课堂讲授为主,读书报告
207.0,061M5029H,动物生态学,专业普及课,生物学,40/3.0,"第2-4,6-18周",周三(5-7),教2-229,授课、讨论,课堂开卷
208.0,061M5030H,植物生态学,专业普及课,生物学,40/3.0,"第2,4,6-18周",周一(9-11),教2-104,授课、讨论,闭卷笔试
210.0,061M5037H,生物化学实验,专业普及课,,80/2.0,第3-9周,周六(1-8),学3-537（生命学院教学实验室）,讲课、实验,其它（需说明）
212.0,061M5041H,生命科学研究中的色谱、质谱和组学技术,专业普及课,生物学,40/3.0,"第2-4,6-17周",周三(5-7),教2-127,讲课、上机,课堂开卷
213.0,061M5045H,生物化学实验原理与技术,专业普及课,生物学,40/3.0,第2-16周,周一(3-4),教2-105,课堂讲授为主,课堂开卷
213.0,061M5045H,生物化学实验原理与技术,专业普及课,生物学,40/3.0,第2-16周,周三(3-4),教2-105,课堂讲授为主,课堂开卷
214.0,061M5046H,神经科学的表述与撰写,专业普及课,生物学,30/2.0,第2-9周,周一(9-11),教2-213,授课、讨论,读书报告
214.0,061M5046H,神经科学的表述与撰写,专业普及课,生物学,30/2.0,第2-9周,周三(5-7),教2-213,授课、讨论,读书报告
218.0,071M4005H,工程地震学,专业核心课,固体地球物理学,70/4.5,"第2-4,6-15周",周三(5-7),教2-423,课堂讲授为主,闭卷笔试
219.0,071M4007H,空间等离子体物理学,专业核心课,空间物理学,60/4.0,"第2-4,6-13周",周五(9-11),教2-121,课堂讲授为主,闭卷笔试
221.0,071M4011H,有限元方法与计算地球动力学,专业核心课,地球动力学,50/3.0,第2周,周日(9-11),教2-223,课堂讲授为主,闭卷笔试
224.0,071M5002H,现代地学实验分析技术,专业普及课,固体地球物理学,53/3.0,"第2-4,6-11周",周三(5-7),教2-419,讲课、实验,闭卷笔试
225.0,071M5003H,高等地震学,专业普及课,固体地球物理学,50/3.0,"第2,4,6-11周",周一(2-4),教2-429,课堂讲授为主,闭卷笔试
225.0,071M5003H,高等地震学,专业普及课,固体地球物理学,50/3.0,"第2-4,6-11周",周五(2-4),教2-429,课堂讲授为主,闭卷笔试
228.0,071M5008H,构造物理学基础,专业普及课,地球动力学,52/3.0,"第2-4,6-20周",周三(5-7),学4-317,课堂讲授为主,课堂开卷
231.0,071M5015H,地震仪器操作及台站布设,专业普及课,地球动力学,48/2.0,"第6-8,10-12周",周五(9-10),学4-317,课堂讲授为主,闭卷笔试
231.0,071M5015H,地震仪器操作及台站布设,专业普及课,地球动力学,48/2.0,"第6-8,10-12周",周六(1-8),地球物理观测教学实验室(一),课堂讲授为主,闭卷笔试
232.0,072M4001H,火成岩石学,专业核心课,矿物学、岩石学、矿床学,60/4.0,第6-15周,周三(5-7),教2-206,课堂讲授为主,闭卷笔试
241.0,072M4017H,第四纪地质与环境,专业核心课,第四纪地质学,60/4.0,"第2-4,6-13周",周三(5-7),教2-429,课堂讲授为主,闭卷笔试
243.0,072M4020H,矿床地球化学,专业核心课,矿物学、岩石学、矿床学,60/4.0,第6-15周,周一(1-3),教2-227,课堂讲授为主,闭卷笔试
243.0,072M4020H,矿床地球化学,专业核心课,矿物学、岩石学、矿床学,60/4.0,第4-14周,周五(1-3),教2-227,课堂讲授为主,闭卷笔试
244.0,072M4021H,沉积大地构造学,专业核心课,构造地质学,60/4.0,"第2,6-13周",周一(1-3),教2-127,课堂讲授为主,闭卷笔试
244.0,072M4021H,沉积大地构造学,专业核心课,构造地质学,60/4.0,第2-13周,周五(1-3),教2-127,课堂讲授为主,闭卷笔试
246.0,072M5005H,层序地层学,专业普及课,矿物学、岩石学、矿床学,42/2.5,"第2-4,6-7周",周三(5-7),教2-325,课堂讲授为主,课堂开卷
246.0,072M5005H,层序地层学,专业普及课,矿物学、岩石学、矿床学,42/2.5,"第2-4,6-7周",周五(9-11),教2-325,课堂讲授为主,课堂开卷
249.0,072M5014H,构造与成矿作用（含矿田构造）,专业普及课,构造地质学,36/2.0,第15-20周,周五(1-3),教2-225,课堂讲授为主,闭卷笔试
251.0,072M5018H,稳定同位素与古环境,专业普及课,第四纪地质学,40/2.5,第14-20周,周三(5-7),教2-429,课堂讲授为主,闭卷笔试
253.0,072M5021H,前新生代环境,专业普及课,第四纪地质学,32/2.0,第10-17周,周五(1-2),教2-421,课堂讲授为主,闭卷笔试
255.0,072M5024H,地球化学概论,专业普及课,地球化学,40/2.5,"第2-4,6-9周",周三(5-7),教2-421,课堂讲授为主,闭卷笔试
261.0,073M4007H,大气辐射学,专业核心课,大气物理学与大气环境,60/4.0,"第2-4,6-20周",周三(5-7),教2-218,课堂讲授为主,闭卷笔试
262.0,073M4008H,大气探测学,专业核心课,大气物理学与大气环境,60/4.0,第2-3周,周日(1-8),教2-118,课堂讲授为主,闭卷笔试
263.0,073M4009H,大气化学,专业核心课,大气物理学与大气环境,60/4.0,第7-9周,周日(5-7),教2-323,课堂讲授为主,闭卷笔试
265.0,073M5001H,气候统计方法和应用,专业普及课,气象学,50/3.0,"第2-4,6-19周",周五(1-3),教2-105,课堂讲授为主,闭卷笔试
267.0,073M5005H,雷达气象学原理和应用,专业普及课,气象学,48/3.0,"第2-4,6-17,19周",周五(2-4),教2-121,课堂讲授为主,课堂开卷
269.0,073M6001H,气候变化讨论课,专业研讨课,气象学,20/1.0,第16-20周,周一(3-4),教2-207,授课、讨论,读书报告
269.0,073M6001H,气候变化讨论课,专业研讨课,气象学,20/1.0,第16-20周,周三(3-4),教2-207,授课、讨论,读书报告
270.0,073M6007H,土壤碳氮过程与温室气体,专业研讨课,大气物理学与大气环境,30/1.5,第14-18周,周三(5-7),教2-325,授课、讨论,文献综述
274.0,075M5001H,岩体力学,专业普及课,地质工程,40/2.5,第13-20周,周三(5-7),教2-421,课堂讲授为主,闭卷笔试
283.0,07MGX012H,中国建筑赏析,公共选修课,,30/1.0,"第2-3,6-13周",周三(5-7),教1-107,课堂讲授为主,大开卷
286.0,081M1003H,现代自然地理学,一级学科核心课,地理学,54/3.0,第2-20周,周三(5-7),教2-201,课堂讲授为主,课堂开卷
